,date,catch_volume,id_ves,predict_volume,lower_bond,upper_bond,anomalies
56,2022-03-04,101.818,1397,80.12725,1.3520811016887393,158.90241889831128,0
57,2022-03-05,109.041,1397,103.71074999999999,24.935581101688726,182.48591889831124,0
58,2022-03-06,127.229,1397,110.04175000000001,31.266581101688743,188.81691889831126,0
59,2022-03-07,130.797,1397,117.22125,38.44608110168873,195.99641889831128,0
60,2022-03-08,105.56,1397,118.15675,39.38158110168874,196.93191889831127,0
61,2022-03-09,112.435,1397,119.00525,40.23008110168874,197.78041889831127,0
62,2022-03-10,101.818,1397,112.65249999999999,33.877331101688725,191.42766889831125,0
63,2022-03-11,101.992,1397,105.45125,26.676081101688737,184.22641889831127,0
64,2022-03-12,101.644,1397,104.47225,25.697081101688738,183.24741889831125,0
65,2022-03-13,148.55,1397,113.501,34.72583110168874,192.27616889831125,0
66,2022-03-14,80.062,1397,108.06200000000001,29.286831101688747,186.8371688983113,0
67,2022-03-15,101.818,1397,108.0185,29.24333110168874,186.79366889831127,0
68,2022-03-16,135.187,1397,116.40425,37.62908110168874,195.17941889831127,0
69,2022-03-17,101.731,1397,104.6995,25.924331101688736,183.47466889831128,0
70,2022-03-20,101.644,1397,110.095,31.319831101688735,188.87016889831125,0
71,2022-03-21,101.644,1397,110.0515,31.27633110168874,188.82666889831125,0
72,2022-03-22,105.473,1397,102.623,23.84783110168874,181.39816889831127,0
73,2022-03-23,101.818,1397,102.64475,23.869581101688738,181.41991889831127,0
74,2022-03-24,105.734,1397,103.66725,24.89208110168873,182.44241889831125,0
75,2022-03-25,115.916,1397,107.23525,28.46008110168873,186.01041889831126,0
76,2022-03-26,112.609,1397,109.01925,30.244081101688735,187.79441889831128,0
77,2022-03-27,101.731,1397,108.9975,30.222331101688738,187.77266889831128,0
78,2022-03-28,72.578,1397,100.7085,21.933331101688736,179.48366889831127,0
79,2022-03-29,11.052,1397,74.4925,-4.2826688983112575,153.26766889831129,0
80,2022-03-30,98.076,1397,70.85925,-7.915918898311261,149.63441889831125,0
81,2022-03-31,139.19,1397,80.22399999999999,1.4488311016887252,158.99916889831127,0
82,2022-04-01,40.031,1397,72.08725,-6.687918898311267,150.86241889831126,0
83,2022-04-02,105.299,1397,95.649,16.873831101688737,174.42416889831128,0
84,2022-04-03,11.052,1397,73.893,-4.882168898311264,152.66816889831125,0
85,2022-04-04,22.017,1397,44.59975,-34.175418898311264,123.37491889831126,0
86,2022-04-09,21.532,1397,39.975,-38.80016889831126,118.75016889831127,0
87,2022-04-10,104.555,1397,39.789,-38.98616889831126,118.56416889831127,0
88,2022-04-11,112.499,1397,65.15075,-13.624418898311262,143.92591889831127,0
89,2022-04-12,61.635,1397,75.05525,-3.7199188983112634,153.83041889831128,0
90,2022-04-13,125.469,1397,101.03949999999999,22.264331101688725,179.81466889831125,0
91,2022-04-14,151.518,1397,112.78025,34.00508110168873,191.55541889831125,0
92,2022-04-15,49.832,1397,97.1135,18.338331101688738,175.88866889831127,0
93,2022-04-17,13.241,1397,85.015,6.239831101688736,163.79016889831126,0
94,2022-04-18,24.508,1397,59.77475,-19.000418898311267,138.54991889831126,0
95,2022-04-19,50.637,1397,34.554500000000004,-44.22066889831126,113.32966889831127,0
96,2022-04-20,39.893,1397,32.06975,-46.705418898311265,110.84491889831126,0
97,2022-04-21,94.498,1397,52.384,-26.391168898311264,131.15916889831126,0
98,2022-04-22,22.259,1397,51.82175000000001,-26.953418898311256,130.5969188983113,0
99,2022-04-23,31.376,1397,47.0065,-31.76866889831126,125.78166889831127,0
100,2022-04-24,4.579000000000001,1397,38.178,-40.59716889831127,116.95316889831126,0
0,2022-01-01,1.126,1587,,,,0
1,2022-01-02,0.863,1587,,,,0
2,2022-01-03,0.496,1587,,,,0
3,2022-01-04,1.217,1587,0.9255,-4.071381141590868,5.9223811415908685,0
4,2022-01-05,0.782,1587,0.8395,-4.157381141590868,5.836381141590868,0
5,2022-01-06,1.105,1587,0.9,-4.096881141590868,5.896881141590868,0
6,2022-01-07,0.446,1587,0.8875000000000001,-4.109381141590868,5.884381141590868,0
7,2022-01-08,6.9,1587,2.30825,-2.688631141590868,7.305131141590868,0
8,2022-01-09,1.11,1587,2.39025,-2.606631141590868,7.387131141590868,0
9,2022-01-10,0.528,1587,2.246,-2.750881141590868,7.242881141590868,0
10,2022-01-11,0.246,1587,2.196,-2.800881141590868,7.192881141590869,0
11,2022-02-11,0.958,1587,0.7105,-4.286381141590868,5.707381141590868,0
12,2022-02-12,1.082,1587,0.7035,-4.293381141590868,5.700381141590868,0
13,2022-02-13,1.33,1587,0.904,-4.092881141590868,5.900881141590868,0
14,2022-02-14,1.392,1587,1.1905000000000001,-3.806381141590868,6.187381141590868,0
15,2022-02-15,2.567,1587,1.59275,-3.404131141590868,6.589631141590868,0
16,2022-02-16,2.965,1587,2.0635,-2.933381141590868,7.060381141590868,0
17,2022-02-17,2.726,1587,2.4125,-2.584381141590868,7.409381141590869,0
18,2022-02-18,2.469,1587,2.68175,-2.315131141590868,7.678631141590868,0
19,2022-02-19,1.219,1587,2.34475,-2.652131141590868,7.341631141590868,0
20,2022-02-20,1.439,1587,1.9632500000000002,-3.0336311415908677,6.960131141590868,0
21,2022-02-21,2.322,1587,1.8622500000000002,-3.1346311415908676,6.8591311415908685,0
22,2022-02-22,2.898,1587,1.9695,-3.027381141590868,6.966381141590868,0
23,2022-02-23,1.233,1587,1.973,-3.023881141590868,6.969881141590868,0
24,2022-03-03,3.027,1587,2.37,-2.626881141590868,7.366881141590868,0
25,2022-03-04,2.441,1587,2.39975,-2.597131141590868,7.396631141590868,0
26,2022-03-05,2.94,1587,2.41025,-2.586631141590868,7.4071311415908685,0
27,2022-03-06,3.114,1587,2.8805,-2.116381141590868,7.8773811415908686,0
28,2022-03-07,2.603,1587,2.7745,-2.222381141590868,7.771381141590869,0
29,2022-03-08,3.114,1587,2.94275,-2.054131141590868,7.939631141590868,0
30,2022-03-09,3.114,1587,2.98625,-2.010631141590868,7.983131141590868,0
31,2022-03-10,3.637,1587,3.117,-1.879881141590868,8.113881141590868,0
32,2022-03-11,3.625,1587,3.3725,-1.624381141590868,8.369381141590868,0
33,2022-03-12,6.739,1587,4.2787500000000005,-0.7181311415908675,9.275631141590868,0
34,2022-03-13,5.593,1587,4.8985,-0.09838114159086775,9.895381141590867,0
