,date,catch.volume,id.ves,id.own,lower_bond,upper_bond,anomalies
3,2022-01-08,3.533,653,934,7.111378800465012,21.28012119953499,1
4,2022-01-09,8.729,653,934,5.449128800465012,19.61787119953499,0
5,2022-01-10,17.296,653,934,4.725878800465011,18.89462119953499,0
6,2022-01-17,11.843,653,934,3.2658788004650106,17.434621199534988,0
7,2022-01-18,8.778,653,934,4.577128800465012,18.74587119953499,0
8,2022-01-19,10.629999999999999,653,934,5.052378800465011,19.221121199534988,0
9,2022-01-20,14.343000000000002,653,934,4.314128800465012,18.48287119953499,0
10,2022-01-21,12.461,653,934,4.468628800465012,18.63737119953499,0
11,2022-01-22,10.493,653,934,4.897378800465011,19.06612119953499,0
12,2022-01-30,10.86,653,934,4.954878800465012,19.123621199534988,0
13,2022-01-31,14.016,653,934,4.873128800465011,19.041871199534988,0
14,2022-02-15,1.872,653,934,2.2258788004650114,16.39462119953499,1
15,2022-02-16,5.3999999999999995,653,934,0.9526288004650105,15.121371199534988,0
16,2022-02-17,8.306000000000001,653,934,0.3141288004650118,14.482871199534989,0
17,2022-02-18,2.9259999999999997,653,934,-2.458371199534988,11.71037119953499,0
18,2022-02-20,3.376,653,934,-2.082371199534988,12.08637119953499,0
19,2022-02-21,7.031,653,934,-1.6746211995349878,12.49412119953499,0
20,2022-03-06,6.211,653,934,-2.1983711995349884,11.970371199534988,0
21,2022-03-07,5.431,653,934,-1.5721211995349877,12.59662119953499,0
22,2022-03-08,13.811,653,934,1.036628800465012,15.205371199534989,0
23,2022-03-09,7.326,653,934,1.1103788004650124,15.27912119953499,0
24,2022-03-10,10.179,653,934,2.1023788004650115,16.27112119953499,0
25,2022-03-11,0.625,653,934,0.9008788004650121,15.06962119953499,1
26,2022-03-12,6.298,653,934,-0.9773711995349874,13.19137119953499,0
27,2022-03-13,11.917,653,934,0.17037880046501197,14.33912119953499,0
28,2022-03-14,3.4890000000000003,653,934,-1.5021211995349883,12.666621199534989,0
29,2022-03-28,8.091,653,934,0.3643788004650119,14.533121199534989,0
30,2022-03-29,9.246,653,934,1.1013788004650102,15.270121199534987,0
31,2022-03-30,7.684,653,934,0.043128800465011885,14.21187119953499,0
